pos
NNP 
NNP 
NNG NNP 
NNP NNP NNG 
NNB NNP 
NNG JKO JX 
NNG VV ETM 
NNP NNP 
NNP NNG XSV ETM 
NNP NNP 
NNG NNG 
NNP NNG 
NR NNB NNB NNB 
NNP 
NNG VV EC VV ETN 
NNB NNP 
NNG VV 
NNP NNG NNG NNG 
NNG NNP 
NNP 
NNP 
NNP 
NNP NNP NNG 
NNP NNG VV 
NNG VV EF ETM NNP 
NNG NNP 
NNP NNP VCP EC 
NNG NNG NNG JC 
NNP NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP XSN 
NNG NNG 
NNP NNG 
NNP NNP 
NNG NNP NNP 
NNG NNG VCP ETN 
NNP 
NNP NNP 
NNP NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNG NNG NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNG VV ETM XSN 
NNP NNP 
NNP XPN NNG 
NNP 
NNG NNP 
NNP 
NNP 
NNP 
NNP 
NNG VV EC XSA EC 
NNP XPN NNP 
NNP 
NNP NNG NNP 
NNP NNG 
NNP 
NNP NNP 
NNG VV ETM 
NP JX JX 
NNG 
NNP 
NNP 
NNG 
NNP 
NNP 
NNP NNP NNP 
NNP NNG 
NNG NNP 
NNP 
NNP 
NNP NNG VV ETM 
NNP NNB 
NNP 
NNP 
NNP NNP 
NNP 
NNP NNG JKO 
NNG NNP NNP 
NNG VV 
NNG EC 
NNG NNP 
NNG JX MAG 
NNP 
NNG NNP 
NNP 
NNP 
NNG NNP NNP 
NNP 
NNP 
NNP 
NP VCP EC VV ETM 
NNG JKO NNG 
NNP NNB NNP 
NNG VV VV ETM 
NNG VCP ETN 
NNP NNP 
NR NNP NNP 
NNP 
NNG JX VV 
NNG NNG 
NNG MAG NNG 
NNP 
NNP 
NNG MAG VV ETM 
NNP MM NNB 
NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNP NNB 
NNG NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNP NNG 
NNP 
NNP 
NNG NNG 
NNP NNG VA EC 
NNP NNB 
NNB NNP 
NNP 
NNP 
NNP 
NNG NNG 
NNG NNG 
NNG NNP VA EC NNB 
NNP NNP 
NNG 
NR NNP NNP 
NNG NNP 
NNG NNG 
NNG NNP 
NNG NNB NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP NNP NNP NNG 
NNP NNP 
NNP 
NNG NNG 
NNG NNP NNG 
NNG NNG NNP 
NNP 
NNG NNG 
NNP NNP 
NNP 
NNP 
NNG NNG 
NNG NNB 
NNG 
NNP NNG 
NNG 
NNP 
NNG MAG 
NNP 
NNP 
NNP NNG NNG 
NNG EC VV ETN 
NNP NNP 
NNP NNG 
NNG VV ETN 
NNG NNP 
NNG NNG NNP 
NNG NNG 
NNP 
NNP NNP 
NNP NNG NNP 
NNP 
NNP NNG 
NNP NNP 
NNP 
NNG NNG VV 
NNP 
NNG NNB JKO NNG 
NNG NNG NNG 
NNP 
NR VV EC EC 
NNP 
NNP NNP NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP 
NNG NNP 
NNP 
NNG NNP 
NNG 
NNP 
NNP NNP JX 
NNG 
NNP 
NNP 
NNP 
NNP 
NNG NNG NNP 
NNG NNP 
NNP 
NNG NNP 
NNP JKO 
NP XSN 
NNG NNP 
NNG NNP XPN 
NNP 
NNP 
NNG NNP ETM NNP 
NNP 
NNP NNP JKB JX 
NNP 
NNP 
NP NNB 
NNP XSN 
NNP 
NNP 
NNP NNP 
NNG NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG 
NNG XSN 
NNG NNG XSV EC 
NNG NNP XSN 
NNP NNP 
NNP ETM NNP 
NNP NNP 
NNP 
NNP NNB 
NNP 
NNG NNP 
NNP NNG 
NNG NNP 
NNP 
NNP 
NNP NNP 
NNG NNP 
NNP 
NNG 
NNG MAG 
NNG NNG NNP 
NNP 
NNP 
NNP 
NNP 
NNG MM 
NNP 
NNP 
NNG NNG VCP ETM 
NNP 
NNG NNG NNP NNP 
NNG VV 
NNP 
NNG NNB 
NNP NNP 
NNP NNP 
NNG NNG 
NNP NNP 
NNP NNB 
NNP 
NNP NNG NNG NNG 
NNP NP XSN 
NNP 
NNP 
NNP NNP 
NNG NNG NNP 
NNG NNP 
NNP MAJ 
NNP 
NNP 
NNG NNG NNG XSV EC 
NNP 
NNP NNP NNB 
NNP NNP 
NNP 
NNG NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNG 
NNG NNG NNG MAG 
NNG VV EC 
NNP NNP 
NNG NNG XSV EC JKO 
NNG NNG 
NNP 
NNG NNG 
NNP 
NNG XSV EC 
NNP NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNG 
NNG NNP 
NNG NNG 
NNP 
NNG NNP 
NNP NNG 
NNG NNP 
NNP NNB 
NNG 
NNP 
NNP 
NNP NNP 
NNG NNP 
NNP NNG 
NNP 
NNP 
NNP NNP 
NNG 
NNP NNP NNP 
NNP 
NNP 
NNG NNP 
NNP 
NNP XPN NNP 
NNP 
NNP 
NNG NNG 
NNG VA EF ETM NNP 
NNP 
NNP 
NNG VV ETM NNB 
NNP 
NNG JKO VV 
NNP 
NNG NNP 
NP NNG 
NNG NNB 
NNP NNP 
NNG NNG 
NNG NNG NNP NNG 
NNP 
NNG JX VV EP 
NNG VV EP ETM NNP 
NNG NNG 
NNG NNG 
NNG NNG XSV EC 
NNG NNG 
NNP 
NNP 
NNP 
NNG NNG VA EC 
NNG NNP 
NNB VV EC 
NNP 
NNP 
NNP 
NNG NNP NNB XSN 
NNP NNG 
NNP 
NNB NNB 
NNP 
NNP 
NNP 
NNG NNB 
NNP NNP 
NNP 
NNG VV ETM 
NNP NNP NNP 
NNG NNG VV ETN NNG 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNB NNP 
NNP 
NNP XPN NNP 
NNG XSV EC 
NNG JKB JX VV ETM 
NNG NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNG NNG 
NNG NNG NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNG NNG 
NNG NNP NNP NNB 
NNP 
NNP NNP 
NNP NNP 
NNP 
NNG NNG VV ETM 
NNG NNB NNP 
NNG NNG XSV EC 
NNP 
NNG NNP 
NNP 
NNG NNP 
NR NNP 
NNG NNG 
NNG NNG 
NNG NNP 
NNP 
NNP NNP 
NNG NNG EC JX EC 
NNG NNG 
NNP 
NNG XSN 
NNP 
NNB NNP 
NNP NNG 
NNP 
NNP ETM NNB 
NNG NNP 
NNP NNG 
NNG JKO NNG NNG 
NNP 
NNG NNB 
NNP 
NNP 
NNP 
NNG NNP 
NNP 
NNG 
NNP NNG 
NNG NNG 
NNP NNP 
NNG NNP 
NNG 
NNP 
NNG NNP 
NNG NNP 
NNP NNG 
NNP NNG NNG 
NNP 
NNP 
NNP 
NNP NNP 
NNG 
NNP 
NNG 
NNB JX 
NNP 
NNG NNG 
NNG 
NNP 
NNG NNG VCP ETM 
NNP 
NNG NNG 
NNP 
NNP 
NNG 
NNG NNP 
NNP NNG 
NNP 
NNP VV EC NNB 
NNG NNP NNP NNG 
NNG NNG NNG NNG XSN 
NNP NNP NNG JX 
NNP 
NNG NNP 
NNP 
NNP 
NNP 
NNG XR 
NNP NNP 
NNP MM 
NNG VV ETM 
NNP XPN NNP 
NNG NNG 
NNP 
NNG VCP ETM NNP 
NNG VCP ETN 
NNP NNG 
NNP 
NNG NNG 
NNP VV 
NNB NNP 
NNG NNP NNP VV EC 
NNG NNG 
NNP 
NR NNB 
NNG NNG NNG 
NNP 
NNP NNP 
NNG NNP JKO 
NNP NNP 
NNG NNP NNP XSN 
NNP 
NNG NNG 
NNP JC 
NNP 
NNP 
NNP 
NNG NNP 
NNG 
NNP 
NNP 
NNG 
NNG NNG XSN 
NNP 
NNP XPN NNG 
NNG NNP 
NNP 
NNG NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNG NNG 
NNG NNG 
NNP 
NNP NNB 
NNP 
NNP NNP 
NNG MAG VV EC 
NNG NNP NNG 
NNP 
NNP 
NNG NNG 
NNG VV ETN 
NNP 
NNG NNG 
NNP 
NNP 
NNB NNP 
NNG NNG 
NNG NNG 
NNP 
NNG VV ETM NNP 
NNP 
NNG NNB 
NNP 
NNP NNG 
NNG NNG 
NNP 
NNP NNP NP JX VV 
NNP 
NNG NNG 
NNP JC 
NNG NNG 
NNP NNP 
NNP 
NNP MM 
NNP NNP 
NNP NNG 
NNB NNP 
NNG NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNG NNG 
NNG NNB EC 
NNG NNP XSN 
NNP 
NNG NNP 
NNP 
NNP 
NNG NNG XSV ETN JKO 
NNG NNG 
NNG NNP 
NNP 
NNG NNG 
NNP NNP NNG NNB 
NNP 
NNP 
NNP 
NNP JC 
NNP 
NNP 
NNP 
NNP 
NNB NNG NNB VX ETN 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG JKB JX VV 
NNG XSN 
NNG NNG 
NNP 
NNP NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG NNP 
NNB NNG 
NNP 
NNG NNP NNP 
NNP MM 
NNG NNG NNG MAG 
NNP 
NNG NNG NNG 
NNP NNG 
NNP 
NNG MAJ 
NNP 
NNG NNG 
NNP 
NNP 
NNG 
NNG NNB JKB JX 
NNP NNP 
NNP 
NNG NNP 
NNP 
NNG NNB JKS 
NNP VA EC NP 
NNG XSN 
NNG 
NNP 
NNG NNP NNG XSN 
NNP 
NNP NNP 
NNP 
NNG JX 
NNG NNG 
NNP 
NNP NNP 
NNP NNP 
NNG XSN 
NNP 
NNG NP NNG NNP 
NNB NNP 
NNP 
NNP 
NNG NNP 
NNP NNP 
NNP JKB 
NNP NNP 
NNP NP MAG NNB 
NNP NNP 
NNP 
NNP NNG 
NNP 
NNP 
NNP 
NNG JC 
NNP 
NNP NNP 
NNP 
NNP 
NNP NNG 
NNP 
NNG NNG 
NNP 
